total_issues,high,medium,low,high_risk_categories,medium_risk_categories,unique_vuln_types,contract_complexity,has_reentrancy,has_overflow,has_unchecked_call,has_access_control,has_tx_origin,has_delegatecall,has_timestamp,has_weak_randomness,external_calls,state_variables,label,contract
1,0,1,0,0,1,1,5,False,False,False,True,False,False,False,False,0.0,0.0,1,access_control/arbitrary_location_write_simple.sol
1,0,1,0,0,1,1,5,False,False,False,True,False,False,False,False,0.0,0.0,1,access_control/FibonacciBalance.sol
1,0,1,0,0,1,1,5,False,False,False,True,False,False,False,False,0.0,0.0,1,access_control/incorrect_constructor_name1.sol
1,0,1,0,0,1,1,5,False,False,False,True,False,False,False,False,0.0,0.0,1,access_control/incorrect_constructor_name2.sol
1,0,1,0,0,1,1,5,False,False,False,True,False,False,False,False,0.0,0.0,1,access_control/incorrect_constructor_name3.sol
1,1,0,0,1,0,1,5,False,True,False,False,False,False,False,False,0.0,0.0,2,arithmetic/BECToken.sol
1,1,0,0,1,0,1,5,False,True,False,False,False,False,False,False,0.0,0.0,2,arithmetic/insecure_transfer.sol
1,1,0,0,1,0,1,5,False,True,False,False,False,False,False,False,0.0,0.0,2,arithmetic/integer_overflow_1.sol
1,1,0,0,1,0,1,5,False,True,False,False,False,False,False,False,0.0,0.0,2,arithmetic/integer_overflow_add.sol
1,1,0,0,1,0,1,5,False,True,False,False,False,False,False,False,0.0,0.0,2,arithmetic/integer_overflow_benign_1.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,True,0.0,0.0,1,bad_randomness/blackjack.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,True,0.0,0.0,1,bad_randomness/etheraffle.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,True,0.0,0.0,1,bad_randomness/guess_the_random_number.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,True,0.0,0.0,1,bad_randomness/lottery.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,True,0.0,0.0,1,bad_randomness/lucky_doubler.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,False,0.0,0.0,1,denial_of_service/auction.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,False,0.0,0.0,1,denial_of_service/dos_address.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,False,0.0,0.0,1,denial_of_service/dos_number.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,False,0.0,0.0,1,denial_of_service/dos_simple.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,False,0.0,0.0,1,denial_of_service/list_dos.sol
1,1,0,0,1,0,1,5,False,False,False,False,False,False,False,False,0.0,0.0,2,front_running/ERC20.sol
1,1,0,0,1,0,1,5,False,False,False,False,False,False,False,False,0.0,0.0,2,front_running/eth_tx_order_dependence_minimal.sol
1,1,0,0,1,0,1,5,False,False,False,False,False,False,False,False,0.0,0.0,2,front_running/FindThisHash.sol
1,1,0,0,1,0,1,5,False,False,False,False,False,False,False,False,0.0,0.0,2,front_running/odds_and_evens.sol
1,0,0,0,0,0,1,5,False,False,False,False,False,False,False,False,0.0,0.0,0,other/crypto_roulette.sol
1,0,0,0,0,0,1,5,False,False,False,False,False,False,False,False,0.0,0.0,0,other/name_registrar.sol
1,0,0,0,0,0,1,5,False,False,False,False,False,False,False,False,0.0,0.0,0,other/open_address_lottery.sol
1,1,0,0,1,0,1,5,True,False,False,False,False,False,False,False,0.0,0.0,2,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol
1,1,0,0,1,0,1,5,True,False,False,False,False,False,False,False,0.0,0.0,2,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol
1,1,0,0,1,0,1,5,True,False,False,False,False,False,False,False,0.0,0.0,2,reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol
1,1,0,0,1,0,1,5,True,False,False,False,False,False,False,False,0.0,0.0,2,reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol
1,1,0,0,1,0,1,5,True,False,False,False,False,False,False,False,0.0,0.0,2,reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,False,False,0.0,0.0,1,short_addresses/short_address_example.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,True,False,0.0,0.0,1,time_manipulation/ether_lotto.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,True,False,0.0,0.0,1,time_manipulation/governmental_survey.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,True,False,0.0,0.0,1,time_manipulation/lottopollo.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,True,False,0.0,0.0,1,time_manipulation/roulette.sol
1,0,1,0,0,1,1,5,False,False,False,False,False,False,True,False,0.0,0.0,1,time_manipulation/timed_crowdsale.sol
1,1,0,0,1,0,1,5,False,False,True,False,False,False,False,False,0.0,0.0,2,unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol
1,1,0,0,1,0,1,5,False,False,True,False,False,False,False,False,0.0,0.0,2,unchecked_low_level_calls/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol
1,1,0,0,1,0,1,5,False,False,True,False,False,False,False,False,0.0,0.0,2,unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol
1,1,0,0,1,0,1,5,False,False,True,False,False,False,False,False,0.0,0.0,2,unchecked_low_level_calls/0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol
1,1,0,0,1,0,1,5,False,False,True,False,False,False,False,False,0.0,0.0,2,unchecked_low_level_calls/0x39cfd754c85023648bf003bea2dd498c5612abfa.sol
1,1,0,0,1,0,1,4,True,False,False,False,False,False,False,False,,,2,test_reentrancy
1,1,0,0,1,0,1,4,False,True,False,False,False,False,False,False,,,2,test_overflow
1,0,1,0,0,1,1,3,False,False,False,False,True,False,False,False,,,1,test_txorigin
0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,,,0,test_clean
3,0,1,2,0,1,2,5,False,False,False,True,False,False,False,False,,,0,test_low
